id,unique_id,song_id,path,title,artist,album,genre,lyrics,isrc,playlists,length,amplify,fade_in,fade_out,cue_in,cue_out,cross_start_next
8474,f43713314a4360d404c3d745,dc805689dfc4c5e8bb79707a03a0df1e,loudar_ft._michael_jo_-_runaway_(hardstyle)___official_music_video.mp3,"Runaway (Hardstyle) _ Official Music Video","Loudar ft. Michael Jo",,,,,default,220.865306,,,,,,
8475,998070fed154f78308ad68fd,5eaf4dc053a4e827b3d38751985ca319,"lsd_-_audio_(official_video)_ft._sia,_diplo,_labrinth.mp3","Audio (Official Video) ft. Sia, Diplo, Labrinth",LSD,,,,,default,225.462857,,,,,,
8476,00a4f624fe8518dcdba1b5d6,7097a83bf936305a558ce25dc67245b0,luis_fonsi_-_despacito_ft._daddy_yankee.mp3,"Despacito ft. Daddy Yankee","Luis Fonsi",,,,,default,281.6,,,,,,
8477,c517cc72723f62a340ff9755,40faba98ca59b6952a157aef15b431a2,lucas__steve_vs_matt__kendo_-_you_and_i_know_(official_music_video).mp3,"You And I Know (Official Music Video)","Lucas & Steve vs Matt & Kendo",,,,,default,182.491429,,,,,,
8478,4ad0da22dbfef99b28d749c7,dad2a4586e3a947e08d3d7ef58836814,m.i.a._-_bad_girls_(official_video).mp3,"'Bad Girls' (Official Video)",M.I.A.,,,,,default,251.036735,,,,,,
8479,429918774c81e55b7728f5cb,bca77acc510228e974473ec1936f18ae,m-22_ft._medina_-_first_time_(official_music_video).mp3,"First Time (Official Music Video)","M-22 ft. Medina",,,,,default,190.040816,,,,,,
8480,4a1b27da86de2dd3d2bff0f5,7f12b043c7ab1a82c894faac8c21079b,madonna_feat._m.i.a._and_nicki_minaj_-_give_me_all_your_luvin_(official_video)[hd].mp3,"Give Me All Your Luvin' (Official Video)[HD]","Madonna feat. M.I.A. and Nicki Minaj",,,,,default,224.992653,,,,,,
8481,703df08d8925592f61353b04,6d6c86510df0857bb2e648973b66f68d,madonna_-_hung_up_(official_video)_[hd].mp3,"Hung Up (Official Video) [HD]",Madonna,,,,,default,333.662041,,,,,,
8482,414ac98a97b054ac2cd8d86e,f5fbfd5f4177c45342058359e1436fda,major_lazer__showtek_-_believer_(official_lyric_video).mp3,"Believer (Official Lyric Video)","Major Lazer & Showtek",,,,,default,223.582041,,,,,,
8483,bfe3581f8dba334e4bc9d8f8,4c64bd029ee4e789b8ba02bd6bdddac7,madonna_-_living_for_love_(official_video).mp3,"Living For Love (Official Video)",Madonna,,,,,default,245.786122,,,,,,
8484,7e543a6c5401cf585d2fb925,64e5db76e07ed76d7c02b4428aee5363,major_lazer_-_sua_cara_(feat._anitta__pabllo_vittar)_(official_music_video).mp3,"Sua Cara (Feat. Anitta & Pabllo Vittar) (Official Music Video)","Major Lazer",,,,,default,166.974694,,,,,,
8485,8a2d84d16f7bf221b44355ad,b55099d3a351cc6e195783d1992894ca,maluma_-_11_pm_(official_video).mp3,"11 PM (Official Video)",Maluma,,,,,default,258.951837,,,,,,
8486,c7f6757337aa5f19d4b94d48,d1b77a35f01f6750cd09a063f777010c,maluma_-_corazón_(official_video)_ft._nego_do_borel.mp3,"Corazón (Official Video) ft. Nego do Borel",Maluma,,,,,default,214.413061,,,,,,
8487,c979127c03707871e0196aea,a4e17081adeebea9645f53afbf08e8bc,maluma_-_felices_los_4_(official_video).mp3,"Felices los 4 (Official Video)",Maluma,,,,,default,290.742857,,,,,,
8488,b1b60a8224d939741da1b65a,b97837b4674e8e75541e341e542cecb3,maluma_-_hp_(official_video).mp3,"HP (Official Video)",Maluma,,,,,default,195.422041,,,,,,
8489,b41f5f16a64265ae02895218,a15d916499707fc6aa673ffd2001c382,maluma_-_mala_mía_(official_video).mp3,"Mala Mía (Official Video)",Maluma,,,,,default,241.188571,,,,,,
8490,3734a7bfc04bc4986544f2a9,c0da7b6ed57a51f873c2293c6dfb2a99,"maluma,_nicky_jam_-_no_puedo_olvidarte_(music_video).mp3","No Puedo Olvidarte (Music Video)","Maluma, Nicky Jam",,,,,default,189.309388,,,,,,
8491,188d88d69d64b4f92b09ac2e,04966e170763b3f37701bfcb5064fb9c,marc_anthony_-_i_need_to_know_(video).mp3,"I Need to Know (Video)","Marc Anthony",,,,,default,196.832653,,,,,,
8492,5fbebbaeca155c6f0332fc83,c83b552f5900763d3859b2a11282cc6b,marc_anthony_-_vivir_mi_vida_(official_video).mp3,"Vivir Mi Vida (Official Video)","Marc Anthony",,,,,default,326.582857,,,,,,
8493,317405d71527d121b4136ef5,f55d0535de627921ec41292b1a1a3b4c,marc_anthony_-_aguanile.mp3,aguanile,"marc anthony",,,,,default,320.287347,,,,,,
